Tweet,HateLabel,TopicID
"You know maybe doing a “challenge” where I drink shots whenever I die I’m The last of us 2 when I die probably wasn’t smart.

Happy new gay year y’all",0,1
RT @thehill: Black transgender woman found dead on Christmas Day https://t.co/hTvmF0Utza https://t.co/JQyMSRTnvW,0,1
👏 Congratulations @AyodejiOsowobi @StandtoEndRape initiative for winning #GCPrize 2020 Nigeria's Hero Award. You deserve this recognition for providing mental health support and safe spaces for survivors of gender-based violence. Keep it up! 🌍 https://t.co/fi7wE7RUPq,0,1
Black transgender woman found dead on Christmas Day https://t.co/gegCk0jFGx https://t.co/M2CC8l25iR,0,1
"A transgender woman was found dead on a Chicago street on Christmas Day, becoming one of at least 43 transgender or non-conforming people who have been slain this year, the Human Rights Commission says. https://t.co/gra50RitBJ",0,1
when I first found out the gender of my baby I did a blood test at 8 weeks and I got my results that said ITS A BOY!!! I was so excited then refreshed my email and they said “OOPS WE’RE SORRY WE MEANT IT’S A GIRL!!” Lmaoooo I was still so happy but damn 😂🥴,0,1
"Now that 2020 is pretty much going to be behind us, could we leave some other things behind in 2020 like the use of the following words in a derogatory manner?:

-Gay
-Retard(ed)
-AIDS
-Cancer
-Rape

Shit is dumb and we can do better. Fuck you if you think they’re just words.",1,1
"When Max and Jeremy buy an antique radio, they get more than just a conversation piece. On talk show Second Chance, fans can finally make peace--with the dead. 

https://t.co/0Kw86mg9tk
#LGBTQ #UrbanFantasy #Supernatural #WolfPackAuthors https://t.co/CX9wutp4yf",0,1
The government made 3.2M+ unemployed and destroyed many people's life and livelihood but at least they gave you $1800 over the span of a year which came from a bill that was 3/4 foreign aid including the funding of fucking gender studies in Pakistan.,1,1
I ain't talking gay bash but I kill you faggots,2,1
"A Black gay man was slashed &amp; left for dead by strangers. He spent the holidays in the hospital.

Anthony Crumbley lost use of his arm, fell into a coma, and spent his birthday in the hospital because three strangers sliced his neck. Now he's terrified to go home.",0,1
spent last nye with watching cql and then i ended up reading a bunch of danmei in 2020......if i spend this nye watching sfh will that manifest gay serial killer shows for 2021 https://t.co/qnOdOYHe4D,0,1
"Happy new year gays, gals and nonbinary pals!!
Me and Aniki almost shot a small rocket through our parent's bedroom window so 2021 has started out in style!",0,1
ok this one is dedicated to beth specifically bc i’m gay 🤠 who knew twt would end up being a better dating app than tinder?? i’m so glad i met you and we got to go on some of the Best dates (even if i nearly killed you ..) ur a real life angel and u deserve all the happiness 💗,0,1
""" you cɑll it revenge,
                                     𝙄 𝙘𝙖𝙡𝙡 𝙞𝙩 𝙧𝙚𝙩𝙪𝙧𝙣𝙞𝙣𝙜 𝙩𝙝𝙚 𝙛𝙖𝙫𝙤𝙧 ""

× Iliterate and semi-lit

× Multiship! [Main muse is lesbian]

× More information below!

♡ or ↺ ? https://t.co/TBWvdRL81E",0,1
"Muse name: Uruz
Age: 119 years
Bisexual / female lean
85% top / 15% sub (this in rare exceptions)
7.1"" height

A tauren, or bull-man how he calls himself. He's been a shaman since his younger years, had been in war.
Now lives in a village and runs his own tavern+ https://t.co/mJO0rB6Jhd",0,1
"As per the president's request: those that we lost to:
- Covid-19
- Gender based violence and femicide
- Depression
- HIV/AIDS
- Cancer
- Accidents
- Any other causes

🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️🕯️ 🕯️ 🕯️ 🕯️ 🕯️ 🕯️ 🕯️ 🕯️ 🕯️ 🕯️ 🕯️ 🕯️ 🕯️ 🕯️",0,1
Cant wait to tell my grandkids how I got to witness the 2020 gay civil war that played out entirely on social media.,0,1
FDA considers lifting restrictions on blood donations by gay and bi men https://t.co/qB1nm1LX6a by @NBCNews https://t.co/dz1zg40HIA,0,1
"I have a lot of ride-or-die friends and colleagues named Karen. So let's come up with a more appropriate name for spoiled dumb-asses. I nominate the gender neutral ""clueless dumb ass"" as the new name for these idiots. https://t.co/J5HbbRqPR1",1,1
"1/ Ohhhhhh people told me names like turd baster to call creepy gays if they try to attack me. Hmm i dunno i think it would make it worse. Ohh ok they're doing like in dirty grandpa, trying to get the ""retard"" raped and killed cuz those creeps don't like witnesses. Remember Jude",2,1
A 17-year-old suffered a torn ligament after three people assaulted him and yelled #homophobic slurs in a Bronx playground. NYPD is investigating it as a #hatecrime assault. No suspects have been identified. https://t.co/qYQRWLM2SM #LGBTQ,0,1
"1/ Tim Falsone seemed to have started problems with me since childhood or were people working on him like gay prison guards or cops cuz some rape and look at the bbs types and them, at least one being related to Davis jail guards. Makes me wonder about the statistic that 60% of",0,1
"YEEHAW GIRLS, GAYS, AND THEYS!! solo stream today so we’ll be playing #DeadbyDaylight killer since it’s been so long! we’re on our road to 450(and 500 👁👄👁) so i’d love to chat and hang with y’all! #queerstreamer #twitchaffiliate #streaming 

https://t.co/h8JdVD8IfM https://t.co/q01QcXwshT",0,1
"Ruth Bader Ginsburg, a tireless advocate for gender equality, died of complications related to pancreatic cancer at the age of 87. 

Only the second woman to serve on the Supreme Court, her influence went far beyond gender cases. https://t.co/1KJWY704UF https://t.co/AOEf2lgMCn",0,1
Tiffany ‘New York’ Pollard fires revolting ‘transphobic’ attack at reality TV contestant https://t.co/TzyKalasUx,0,1
"The Boughetto Gays kill me. 😂

Nigga you from the suburbs shut the fuck up!",2,1
"Two more transgender or gender-nonconforming Americans have died by violence in December, bringing the total of such deaths to at least 43 in 2020. https://t.co/zDxiw9D1U2",0,1
"After a bad hookup with a gay wizard, a snatched Cavetown stan investigates the murder of a narcissistic pop icon",0,1
The anxiety of waiting 7 more hours to find out the gender of our baby will most likely kill me.,0,1
Feminist speaker Julie Bindel 'attacked by transgender person' at Edinburgh University after talk https://t.co/xqOHDH6a6W,0,1
"Episode 35: Big Thank You 30 Days Our Story Project. Thomas drops his last bit of knowledge for 2020.  The new year workshop, male gender socialization and abuse, and a plea to make that change. He's already working on another big project for 2021. https://t.co/WXXrXwDSiz",0,1
"This week we learned that one of our clients, Alexandria Winchester, a young transgender woman of color, was murdered on the streets of our city. The details about her murder are still emerging, and it is believed she knew her murderer. (1/3) https://t.co/tW6BRkTzgX",0,1
"The instagram wall died but in its place has risen the instagram igloo 🙏

#pso2 #pso2na #ship1 #bara #newman #pso2_ss #pso2fashion #pso2コーデ #pso2_ship1 #gay #gaybear #gayboy https://t.co/5mS1uPXLXW",0,1
Taxpayers funding transgender surgery for Wisconsin man who raped his daughter https://t.co/jGnTd3LosF,0,1
if a straight girl shot me i owuld run over to where she is and kiss her on the hand and kill her because shes not specialized in gay fight,2,1
"protection for our undocumented immigrants, 2k stimulus checks, living wage, affordable healthcare, ending climate change, holding cops accountable, legalizing weed, freeing prisoners, LGBTQ rights, gun control, were all passed in the House from '18 -'20

ALL BLOCKED BY #Mitch",0,1
you niggas is gay killing females!!,2,1
"Paper Bullets: Two Artists Who Risked Their Lives to Defy the Nazis | In the midst of occupied Paris during World War II, two women took a bold step: creating their own subversive anti-Nazi campaign. Claude Cahun and Marcel Moore — were lesbian partners... https://t.co/91bnZ242q9",0,1
Tired of seeing these gender war tweets on the TL. All y’all do is make broad generalizations with no context whatsoever. Then you have these clowns that agree blindly without giving it a second thought.,1,1
"I tire of people saying funding for schools can solve the problem of poor people voting republican. No amount of schooling will fix people raised to believe liberals are evil monsters who want to steal guns, ban religion, kill babies, turn kids gay, &amp; give your job to a Mexican.",2,0
"What's meaning of hero 
When you do anything to protect innocent people 
Regardless of what is their national or age or gender 
From terrorism 
You are hero like general soleimani
#HERO
#برای_سرباز",0,1
my new years resolution is to be transgender and  not die,0,1
"Happy New Year! Jo March was a lesbian, Real Love is Real, I still dislike KStew, Ammonite is the best movie of 2020, Trump will die in jail, Kamala should be my Auntie, I love my Cochinas, do not take the reviews on Letterboxd seriously, Goldfrapp is underrated, call your mom 🎉",2,1
"Transgender woman found dead in Christmas day slaying in Chicago, advocacy group says

https://t.co/yDwwKTbaIh",0,1
"Formerly Darkslime (changed my username), now a transgender woman, still good old me. (I haven't come out on Twitter, have I? My sister convinced me to give it another shot. XD)",0,1
This guy thinks girls hate men because they broke up with them. Men have no fucking brains not a fucking tissue in their thick ass fucking skulls and we say black lgbt lives matter because black trans woman are being killed by their own community https://t.co/5ynwPNUdvh,2,1
Every fucking video on the “I’m Stan and I was wrong I’m singing the Stan wrong song” is about people taking down their bi flags and putting up a lesbian flag and Makes me want to die every single time I see one https://t.co/PhMddXmKuV,1,1
The Very First Limiting Belief I Destroyed: Homophobia by @MyriamBenSalem https://t.co/Ico9bfhdFY,0,0
"Individualized are victimized by #HateCrimes for a variety of reasons, including sexual orientation, race, religion, gender identity and more. Everyone should protect themselves with a #PersonalAlarm to reduce the risks of being injured during one of these crimes. https://t.co/z16HZgn2mF",0,0
"I loved this line from Rudy Gay today on Spurs assistant Becky Hammon, who he is extremely close with:

""I look forward to the day where none of this is news, just people accomplishing things and everybody having a chance and everybody having a shot at the same thing.""",0,1
I’d never kick it with another lesbian couple. Bitches are dead ass retards chile.,2,1
"🖋 Sign “Lift Restrictions on Gay Men Donating Blood” and I’ll deliver a copy to your officials: https://t.co/murcUrLIvS

📨 No. 8 is from Jasmine to @SenatorBennet, @RepDianaDeGette and @SenCoryGardner #CO01 #COpolitics #WontBeErased https://t.co/NjvP1zy6W2",0,1
"“i’m a lesbian srry”
“damn :/ dat sucks” fasjdgdh kill me",1,1
"So, i tried to see how I look if I change the gender of My #DemonHunter, then I will looks like this. 

Blood Elf version of #IllidanStormrage!
#Warcraft https://t.co/jPRNozEQpD",0,1
"#2021NewYear 
Wishing to wake up to the first day of new year that people are not killing each other anymore. I hope in 2021, we don't see any gender inequality, domestic violence and child abuse. Wish to have a year that animal rights and green are protected. #HappyNewYear",0,1
"1/ The crazy thing? You hate people who hate gays but you're fine with rappers saying faggots and fags and killing, saying prison and other rape shit and abusing women and killing witnesses and killing cops. Hmm and did you know that gangs and cartels and more, traffic children",2,1
"Dolores Mantez as Nina Barry
Gabrielle Drake as Lt. Gay Ellis
Harry Baird as Lt. Mark Bradley
📺
#UFOseries
""Kill Straker!""
Directed by Alan Perry
Executive production by Gerry Anderson
Episode aired 4 November 1970 https://t.co/Ss0zKBfCcz",0,1
"heteronormativity is killing my people. how someone expresses their gender or sexuality has nothing to do with you, stop trying to make people conform to gender roles 24/7 or at all. there’s no rule book to this shit. no one is less gay or trans depending on what they wear/like.",1,1
WATCH: Video previews Surrey-shot film to focus on ‘taboo topic’ of being gay/lesbian South Asian https://t.co/0bi1a4OwJH,0,1
"At last I awake, very queer about the head, as from a giddy sleep, and see the butcher walking off, congratulated by the two other butchers",0,1
Men and women don’t have to solve their problems the same way. It’s just a big gender war on here these days.,0,1
WATCH: Video previews #SurreyBC-shot film to focus on ‘taboo topic’ of being gay/lesbian South Asian https://t.co/FuHVHnwRI6,0,1
"No Apologies.
No Censor.
Setting the Record Straight.
~ Emil Jersey

Blood Sex and Violence, A Vampire's Rebuttal
from @ RunRabbitBooks.

#FREE on #KindleUnlimited.

fantasy fiction vampires LGBTQ 
ASMSG IARTG Kindle books ebooks
https://t.co/Q2YomNhSRK https://t.co/QMMWTwGAUZ",0,1
"There’s nothing a gay can’t do with an iced coffee in their hand. 

....except give blood.",0,1
Queer teenager pelted with tin cans and vile homophobic abuse in vicious attack https://t.co/NEtl0xXn3F,0,1
